step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.392941491126772,0,0.0,0.9629677539178735,0,0.0,0.9636673459507578,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9625786079714489,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9650690397148656,0,0.0,0.9614607621347406,0,0.0,0.9625841899640317,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9626521072709062,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.930523758838266,0,0.0,0.9438341220696342,0,0.0,0.9465562760859552,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9463468768449889,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9468742944817181,0,0.0,0.9450950529556518,0,0.0,0.9439857745005534,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9415523998613962,0,0.0,1.0,0,0.0
15.0,4,7.0,0.175,10.879523467527983,1,2.0,0.7399003946608324,0,0.0,0.9628057277557508,0,0.0,1.0,0,0.0,1.0,1,2.0,0.6081176780765408,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9432880861687569,0,0.0,0.952038317138391,1,1.0,0.6775942310389788,0,0.0,0.9804050345722489,0,0.0,0.9633051566450972,0,0.0,0.9607772508094046,1,2.0,0.6235782074430783,0,0.0,1.0,4,7.0
20.0,3,12.0,0.21428571428571427,10.804759918966836,3,12.0,0.6891203260417798,0,0.0,0.9495221106528275,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7483491677854718,0,3.0,0.46941373946863424,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9526581844123558,0,0.0,0.9499748769030707,0,0.0,0.81397558697333,0,1.0,0.8126115304179158,0,0.0,0.9563241094772548,0,0.0,0.9590591762497923,0,0.0,0.7576683013395181,0,3.0,0.4686498446174493,3,19.0
25.0,4,29.0,0.4027777777777778,11.74722778883702,4,29.0,0.5785578322458554,0,0.0,0.9560868405307814,0,0.0,0.9633051566450972,0,0.0,0.949195512486435,0,0.0,0.9415518775469456,0,3.0,0.8687199538219096,0,0.0,1.0,0,0.0,1.0,0,0.0,0.965853704639275,0,0.0,0.9944781678179007,0,0.0,0.7971617230282964,0,3.0,0.9398649617106413,0,0.0,0.9292614460547024,0,0.0,0.9390341176755752,0,0.0,0.9623825560728446,0,3.0,0.9110538296275456,4,38.0
30.0,9,63.0,0.7875,11.204910265430406,7,58.0,0.4166325716286,0,0.0,0.9677767452703177,0,0.0,0.9378548289252212,0,0.0,0.9290149080199823,1,2.0,0.7555997696539007,0,3.0,0.9564300629583844,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9695172737016222,0,0.0,0.9543030110998063,1,3.0,0.8371913680761899,0,3.0,0.9454577651378718,0,0.0,0.9540657536916088,0,0.0,0.9817346105144248,0,2.0,0.6577621335990128,0,3.0,0.9469950316143191,9,74.0
35.0,17,124.0,1.2916666666666667,8.94180406839362,8,96.0,0.3924033598767516,0,0.0,0.933396708202906,0,0.0,0.9460960048794158,0,0.0,0.9440167250083874,2,8.0,0.5347612023851165,1,3.0,0.22443858140928805,0,0.0,0.9645770206673789,0,0.0,0.9155639486574677,0,0.0,0.9788300758849402,0,0.0,0.9818887859177683,2,10.0,0.6471011773818773,1,4.0,0.46793472953778986,0,0.0,0.9504431952499847,0,0.0,0.9603243636730481,2,9.0,0.6110448929890534,1,3.0,0.579806457884953,17,133.0
40.0,31,257.0,2.294642857142857,8.557733752667474,10,142.0,0.3852890714431348,0,0.0,0.9518303341419424,0,0.0,0.9661138730780077,0,0.0,0.9261119783579012,4,24.0,0.4509077334069417,4,19.0,0.40785853731579075,0,0.0,0.9759946659158926,0,0.0,0.953784194621558,0,0.0,0.975064160825203,0,0.0,0.958452226068961,4,28.0,0.5560259960971073,0,6.0,0.5202872811065707,0,4.0,0.8173505665995933,0,0.0,0.9150082366829707,5,29.0,0.5672180041831207,4,21.0,0.3210260401191547,31,273.0
45.0,33,241.0,2.0083333333333333,7.4700849138895355,7,130.0,0.35163535051382433,2,7.0,0.5967733353305182,0,0.0,0.642935152214646,0,0.0,0.9468983881393245,6,51.0,0.4243275745026314,4,39.0,0.5295807854851305,1,1.0,0.6416550138075102,0,0.0,0.960410332955147,0,0.0,0.9533407634693778,0,0.0,0.9644547298208556,1,21.0,0.46697221206657263,2,7.0,0.2324921707300916,0,4.0,0.7405652251627598,0,0.0,0.9546095734862455,6,54.0,0.4560377752932827,4,41.0,0.0,33,355.0
50.0,29,212.0,1.5588235294117647,8.069252354465204,2,54.0,0.44173291076187277,0,5.0,0.7715301760174511,1,9.0,0.25889125166697136,0,0.0,0.9682594487691647,8,89.0,0.38644432291205194,4,59.0,0.3074435414181593,1,1.0,0.726170863883458,0,2.0,0.8275900715867412,0,0.0,0.9462861712437332,0,0.0,0.9728485642856184,3,8.0,0.5251149281209033,4,30.0,0.50493863166672,4,17.0,0.5897703569063826,0,0.0,0.961363343901658,2,48.0,0.49828805977444623,0,28.0,0.3664868716000158,29,350.0
55.0,24,240.0,1.5894039735099337,8.625292248641937,2,52.0,0.5035766614998672,0,4.0,0.8972299278936117,1,16.0,0.6831773905000306,0,0.0,0.9497910418798045,10,134.0,0.20565543331612907,4,79.0,0.0,2,7.0,0.4943358262708263,0,2.0,0.9697853939405834,0,0.0,0.9531558620918299,0,0.0,0.9834363188035148,1,9.0,0.5591450032911612,0,19.0,0.7888294346271676,1,16.0,0.34875552647642055,0,0.0,0.9651844854800458,3,16.0,0.4180288058127182,0,6.0,0.8285417268947899,24,360.0
