Nº Experimento,Tempo de Atraso no Despacho do Veículo de Emergência (seg),Tempo de Bloqueio de Criação de Acidente (seg),Modelo Seguidor de Carro,Algoritmo
1,30,50,Krauss,default
2,30,50,Krauss,proposto
3,30,50,EIDM,default
4,30,50,EIDM,proposto
5,30,100,Krauss,default
6,30,100,Krauss,proposto
7,30,100,EIDM,default
8,30,100,EIDM,proposto
9,120,50,Krauss,default
10,120,50,Krauss,proposto
11,120,50,EIDM,default
12,120,50,EIDM,proposto
13,120,100,Krauss,default
14,120,100,Krauss,proposto
15,120,100,EIDM,default
16,120,100,EIDM,proposto
